item,length,logprob,ppl,ppl1,score
peu,3,-10.1089,336.6856,2342.247,-2.527225
pewe,4,-9.321661,73.16986,214.0007,-1.8643322
pie,3,-7.46978,73.69618,308.9774,-1.867445
pIhu,4,-9.096871,65.97422,188.026,-1.8193742
pikeko,6,-8.697997,17.48119,28.16217,-1.242571
pINi,4,-7.476367,31.28048,73.97616,-1.4952734
poraki,6,-8.19412,14.81114,23.21062,-1.170588571
porakipukau,11,-12.98812,12.08769,15.16137,-1.082343333
pote,4,-6.466908,19.65086,41.37396,-1.2933816
pukau,5,-6.898825,14.11901,23.97536,-1.149804167
pukaunia,8,-10.48241,14.6121,20.43157,-1.164712222
pume,4,-7.519331,31.90555,75.82856,-1.5038662
pUno,4,-8.120379,42.08001,107.1753,-1.6240758
puora,5,-8.015527,21.6731,40.0964,-1.335921167
pUrafa,6,-10.93825,36.52647,66.5338,-1.562607143
pUtio,5,-9.476554,37.9687,78.57979,-1.579425667
pUfi,4,-9.589212,82.76418,249.6336,-1.9178424
rahue,5,-8.674336,27.90762,54.30843,-1.445722667
raNu,4,-7.75588,35.57754,86.89003,-1.551176
rapeia,6,-10.15062,28.18962,49.17799,-1.450088571
rapuko,6,-8.257299,15.12217,23.78025,-1.179614143
reru,4,-7.270813,28.45526,65.72085,-1.4541626
rowa,4,-7.846778,37.09843,91.55761,-1.5693556
rofaohi,7,-12.0799,32.35841,53.17404,-1.5099875
rukO,4,-9.069566,65.14982,185.0937,-1.8139132
rume,4,-7.170804,27.17445,62.04416,-1.4341608
rumo,4,-8.186882,43.38868,111.3578,-1.6373764
rUne,4,-6.822931,23.15188,50.7847,-1.3645862
ruNu,4,-7.168027,27.13972,61.94507,-1.4336054
rupa,4,-6.913508,24.13801,53.50285,-1.3827016
rupo,4,-9.082516,65.53952,186.4786,-1.8165032
taetU,5,-7.448241,17.43306,30.87794,-1.2413735
tAhuma,6,-9.173709,20.44231,33.80271,-1.310529857
takamIa,7,-11.61272,28.28719,45.59946,-1.45159
tAkapI,6,-9.936037,26.26841,45.2904,-1.419433857
tAmarutO,8,-11.26482,17.85035,25.5919,-1.251646667
taoNirua,8,-10.72219,15.53654,21.8914,-1.191354444
tapopa,6,-9.419108,22.16088,37.14081,-1.345586857
tAroraNI,8,-13.68937,33.19256,51.42459,-1.521041111
tatUhe,6,-8.385733,15.77472,24.98171,-1.197961857
tafeNafi,8,-13.43185,31.07622,47.75091,-1.492427778
teaori,6,-7.003555,10.0117,14.69803,-1.000507857
temi,4,-6.105178,16.63549,33.59653,-1.2210356
tetohe,6,-7.327814,11.1386,16.64571,-1.046830571
tetoua,6,-6.60715,8.787769,12.62385,-0.943878571
teu,3,-6.885297,52.64102,197.2873,-1.72132425
tIahu,5,-10.26222,51.32981,112.8349,-1.71037
tie,3,-6.196929,35.41867,116.3169,-1.54923225
tikaweneri,10,-12.95375,15.05268,19.74128,-1.177613636
tIkIhiki,8,-10.9186,16.3372,23.1646,-1.213177778
tikOha,6,-8.625457,17.06901,27.389,-1.232208143
tikU,4,-8.340067,46.56004,121.6233,-1.6680134
tIpe,4,-7.113355,26.46495,60.02591,-1.422671
tIpo,4,-7.900356,38.02518,94.42545,-1.5800712
tItA,4,-8.077205,41.25162,104.5445,-1.615441
titapa,6,-8.255576,15.1136,23.76453,-1.179368
titapapukau,11,-11.51707,9.114983,11.14311,-0.959755833
tifi,4,-7.224399,27.85351,63.9882,-1.4448798
tohiAhia,8,-10.18107,13.5279,18.73416,-1.13123
toketi,6,-9.174139,20.4452,33.80829,-1.310591286
touki,5,-5.798166,9.254672,14.4422,-0.966361
tuanapU,7,-9.170749,14.00695,20.42241,-1.146343625
tUkeiati,8,-10.30413,13.96059,19.4096,-1.144903333
tumeiroruare,12,-15.12413,14.56783,18.21145,-1.163394615
tufe,4,-8.428879,48.5038,128.0029,-1.6857758
uke,3,-7.603077,79.57366,342.2624,-1.90076925
uko,3,-7.0833,58.99632,229.6677,-1.770825
unati,5,-9.422606,37.1907,76.65159,-1.570434333
uro,3,-7.255561,65.14638,262.1322,-1.81389025
uti,3,-7.405741,71.02894,294.1579,-1.85143525
waemura,7,-8.976598,13.24569,19.15892,-1.12207475
wawemiti,8,-12.48868,24.41355,36.39861,-1.387631111
wehao,5,-7.920441,20.89649,38.37851,-1.3200735
wereu,5,-10.93642,66.48694,153.916,-1.822736667
faha,4,-8.207795,43.80855,112.7064,-1.641559
fAhu,4,-7.744401,35.38997,86.31776,-1.5488802
faiE,4,-8.431368,48.55943,128.1864,-1.6862736
fakOiaweahua,12,-15.06996,14.42871,18.02312,-1.159227692
fANaki,6,-7.885385,13.38085,20.61726,-1.126483571
fani,4,-7.378661,29.9042,69.93026,-1.4757322
fanikafa,8,-12.69647,25.74654,38.64193,-1.410718889
faninia,7,-11.13659,24.66461,38.98899,-1.39207375
faniporaki,10,-13.62068,17.30788,23.01803,-1.238243636
fanititapa,10,-13.89154,18.31755,24.49932,-1.262867273
fanifani,8,-12.83782,26.69465,40.24642,-1.426424444
fataI,5,-12.71127,131.3848,348.5411,-2.118545
fehu,4,-8.911712,60.58184,169.0161,-1.7823424
fenepOna,8,-10.29543,13.92954,19.36105,-1.143936667
feNo,4,-11.01038,159.2487,565.7115,-2.202076
feto,4,-8.415834,48.2133,127.0453,-1.6831668
feu,3,-8.641744,144.6892,759.5937,-2.160436
fihia,5,-8.563675,26.74725,51.61012,-1.427279167
fihiania,8,-12.25227,22.98072,34.00433,-1.361363333
furi,4,-8.528811,50.78814,135.5822,-1.7057622
futarirari,10,-12.65236,14.13234,18.41771,-1.150214545
wikuruta,8,-10.95877,16.50596,23.43397,-1.217641111
wura,4,-9.553905,81.42936,244.6112,-1.910781
wuri,4,-9.633914,84.48561,256.1406,-1.9267828
