item,length,logprob,ppl,ppl1,score
rUne,4,-4.337897,7.3718994,12.14714596,-0.8675794
ruNu,4,-5.104335,10.49221062,18.88355467,-1.020867
rupa,4,-3.953877,6.17696869,9.737988336,-0.7907754
rupo,4,-4.306097,7.264728695,11.92680861,-0.8612194
taetU,5,-5.089211,7.05020643,10.41938774,-0.848201833
tAhuma,6,-5.213364,5.556051795,7.394247787,-0.744766286
takamIa,7,-6.153877,5.878068259,7.570512584,-0.769234625
tAkapI,6,-4.707277,4.704008988,6.089002701,-0.672468143
tAmarutO,8,-7.025453,6.034008101,7.554080786,-0.780605889
taoNirua,8,-7.890466,7.528673174,9.689653566,-0.876718444
tapopa,6,-5.224402,5.576261641,7.425636173,-0.746343143
tAroraNI,8,-6.82703,5.735336305,7.134749833,-0.758558889
tatUhe,6,-5.653252,6.421070357,8.754042821,-0.807607429
tafeNafi,8,-7.914468,7.575047027,9.756824652,-0.879385333
teaori,6,-6.201812,7.690828781,10.80526278,-0.885973143
temi,4,-4.281422,7.182644965,11.75859683,-0.8562844
tetohe,6,-5.72264,6.569313686,8.990282389,-0.81752
tetoua,6,-5.993898,7.182425713,9.976610107,-0.856271143
teu,3,-3.938841,9.654065699,20.55639717,-0.98471025
tIahu,5,-4.718487,6.115253995,8.784102604,-0.7864145
tie,3,-4.066153,10.38815091,22.66649315,-1.01653825
tikaweneri,10,-8.294646,5.676213566,6.752500111,-0.754058727
tIkIhiki,8,-6.281241,4.987876211,6.097546557,-0.697915667
tikOha,6,-5.191672,5.516548346,7.332949036,-0.741667429
tikU,4,-3.879401,5.968706173,9.329325589,-0.7758802
tIpe,4,-4.102367,6.614140255,10.60698,-0.8204734
tIpo,4,-4.015685,6.355313813,10.09069896,-0.803137
tItA,4,-3.452825,4.90416417,7.298040179,-0.690565
titapa,6,-4.922403,5.048942544,6.613030108,-0.703200429
titapapukau,11,-8.885146,5.500837724,6.4230388,-0.740428833
tifi,4,-3.953132,6.174849827,9.733813032,-0.7906264
tohiAhia,8,-7.064598,6.094742103,7.63967265,-0.784955333
toketi,6,-4.991482,5.164982533,6.790686273,-0.713068857
touki,5,-4.741928,6.170513877,8.879440471,-0.790321333
tuanapU,7,-6.427029,6.358850652,8.28222453,-0.803378625
tUkeiati,8,-7.650301,7.080003045,9.042481419,-0.850033444
tumeiroruare,12,-11.483214,7.644061172,9.055960092,-0.883324154
tufe,4,-4.649133,8.507982736,14.53059004,-0.9298266
uke,3,-3.441399,7.250196044,14.03243373,-0.86034975
uko,3,-4.014182,10.0819723,21.78013998,-1.0035455
unati,5,-5.046804,6.936397931,10.21788005,-0.841134
uro,3,-4.180284,11.09356162,24.74161246,-1.045071
uti,3,-3.855258,9.200565045,19.27906644,-0.9638145
waemura,7,-6.997409,7.493351844,9.991480777,-0.874676125
wawemiti,8,-7.102462,6.154070178,7.723386167,-0.789162444
wehao,5,-5.143192,7.19778163,10.68165139,-0.857198667
wereu,5,-5.226681,7.432133464,11.10033792,-0.8711135
faha,4,-3.920172,6.081831729,9.550871456,-0.7840344
fAhu,4,-4.022792,6.37614816,10.13206576,-0.8045584
faiE,4,-5.061314,10.28638559,18.42164887,-1.0122628
fakOiaweahua,12,-11.387114,7.515049511,8.890499598,-0.875931846
fANaki,6,-4.870962,4.964227937,6.483761033,-0.695851714
fani,4,-3.695471,5.48395901,8.392043957,-0.7390942
fanikafa,8,-7.479489,6.777262907,8.608671286,-0.831054333
faninia,7,-6.399008,6.307772189,8.206235952,-0.799876
faniporaki,10,-8.584738,6.031574928,7.218946114,-0.780430727
fanititapa,10,-8.105871,5.456288979,6.465276455,-0.736897364
fanifani,8,-7.349972,6.556371527,8.293665205,-0.816663556
fataI,5,-4.522894,5.673037661,8.027472011,-0.753815667
fehu,4,-4.331729,7.350989459,12.10409295,-0.8663458
fenepOna,8,-6.95157,5.92102189,7.395137443,-0.772396667
feNo,4,-4.837341,9.278295499,16.19329583,-0.9674682
feto,4,-4.518722,8.01206382,13.47970848,-0.9037444
feu,3,-4.248985,11.54107465,26.08124587,-1.06224625
fihia,5,-4.945034,6.670714188,9.750049038,-0.824172333
fihiania,8,-7.988597,7.720081566,9.967233328,-0.887621889
furi,4,-4.73961,8.869966917,15.30743768,-0.947922
futarirari,10,-9.355784,7.088034425,8.621412007,-0.850525818
wikuruta,8,-7.80142,7.359095595,9.444468012,-0.866824444
wura,4,-5.572508,13.01672111,24.72447053,-1.1145016
wuri,4,-5.489213,12.52687085,23.56694292,-1.0978426
