item,length,logprob,ppl,ppl1,score
mupati,6,-7.210255,10.71609,15.91143,-1.030036429
naipu,5,-8.470329,25.80604,49.43855,-1.4117215
nANa,4,-7.139153,26.78124,60.92399,-1.4278306
natoi,5,-8.338575,24.53366,46.52806,-1.3897625
neetia,6,-8.47639,16.25222,25.86614,-1.210912857
nema,4,-7.184342,27.34441,62.5296,-1.4368684
Nae,3,-6.908135,53.33763,200.7759,-1.72703375
Naena,5,-10.57208,57.81142,130.1417,-1.762013333
Napoto,6,-9.226943,20.80342,34.50038,-1.318134714
NafAniti,8,-11.70742,19.99053,29.06881,-1.300824444
Nehi,4,-7.054554,25.75792,58.02813,-1.4109108
Nema,4,-8.374861,47.3121,124.0839,-1.6749722
Nemetata,8,-12.74617,26.07598,39.19861,-1.416241111
Nepa,4,-8.022354,40.22265,101.2951,-1.6044708
Noa,3,-4.813518,15.97274,40.22591,-1.2033795
Nue,3,-6.879819,52.47529,196.4595,-1.71995475
Nuta,4,-6.632919,21.2121,45.52287,-1.3265838
nia,3,-5.209673,20.06403,54.52023,-1.30241825
niaire,6,-12.2448,56.13806,109.8501,-1.749257143
niakafa,7,-12.06438,32.21419,52.90327,-1.5080475
niapukau,8,-10.67994,15.36951,21.62681,-1.18666
niauti,6,-12.14928,54.4016,105.8962,-1.735611429
niafani,7,-13.13002,43.77767,75.11338,-1.6412525
niafihia,8,-13.04908,28.17722,42.76961,-1.449897778
nito,4,-6.805496,22.96673,50.27754,-1.3610992
nitumaotaha,11,-14.67559,16.70958,21.5846,-1.222965833
nOitia,6,-10.18726,28.53138,49.87427,-1.455322857
nopo,4,-8.542871,51.11805,136.684,-1.7085742
nue,3,-5.840771,28.85312,88.49602,-1.46019275
nuhi,4,-4.622261,8.403345,14.30755,-0.9244522
nure,4,-7.009665,25.23091,56.54786,-1.401933
nuti,4,-6.395495,19.01512,39.70761,-1.279099
pahapA,6,-8.274168,15.20632,23.9347,-1.182024
pAhApAko,8,-10.96543,16.53411,23.47894,-1.218381111
paihoui,7,-10.4916,20.48567,31.53553,-1.31145
pAuki,5,-8.207372,23.32896,43.80003,-1.367895333
paurounu,8,-12.45122,24.18068,36.00825,-1.383468889
pAfi,4,-6.135389,16.86855,34.18593,-1.2270778
peu,3,-7.59887,79.38119,341.159,-1.8997175
pewe,4,-7.245537,28.12596,64.77153,-1.4491074
pie,3,-7.461672,73.35303,307.0606,-1.865418
pIhu,4,-7.574546,32.72722,78.27741,-1.5149092
pikeko,6,-8.941024,18.93604,30.9151,-1.277289143
pINi,4,-5.996433,15.82292,31.55791,-1.1992866
poraki,6,-6.677493,8.993475,12.96927,-0.953927571
porakipukau,11,-12.51925,11.04767,13.74401,-1.043270833
pote,4,-5.077463,10.36317,18.59369,-1.0154926
pukau,5,-4.842537,6.413417,9.300523,-0.8070895
pukaunia,8,-8.59054,9.005429,11.85271,-0.954504444
pume,4,-7.424231,30.53839,71.78897,-1.4848462
pUno,4,-7.721452,35.01792,85.18495,-1.5442904
puora,5,-6.477505,12.01114,19.747,-1.079584167
pUrafa,6,-10.06085,27.36933,47.51254,-1.437264286
pUtio,5,-8.045203,21.92134,40.64813,-1.340867167
pUfi,4,-7.534419,32.128,76.49,-1.5068838
rahue,5,-6.898196,14.1156,23.96841,-1.149699333
raNu,4,-5.911103,15.2132,30.04524,-1.1822206
rapeia,6,-10.72352,34.03549,61.27085,-1.531931429
rapuko,6,-7.856337,13.2536,20.3887,-1.122333857
reru,4,-5.537088,12.80612,24.22546,-1.1074176
rowa,4,-5.646762,13.46953,25.80421,-1.1293524
rofaohi,7,-10.7225,21.89336,34.02402,-1.3403125
rukO,4,-8.839169,58.59138,162.1034,-1.7678338
rume,4,-6.193202,17.32369,35.34277,-1.2386404
rumo,4,-6.794788,22.85375,49.96857,-1.3589576
rUne,4,-6.190625,17.30315,35.29038,-1.238125
ruNu,4,-5.114943,10.54359,18.99922,-1.0229886
rupa,4,-5.124105,10.58817,19.09969,-1.024821
rupo,4,-7.267133,28.40708,65.58178,-1.4534266
taetU,5,-5.872889,9.523898,14.94781,-0.978814833
tAhuma,6,-8.385777,15.77496,24.98213,-1.197968143
takamIa,7,-10.0764,18.17816,27.50969,-1.25955
tAkapI,6,-8.967858,19.10393,31.23511,-1.281122571
tAmarutO,8,-11.09289,17.08217,24.35628,-1.232543333
taoNirua,8,-9.197141,10.51731,14.11376,-1.021904556
tapopa,6,-7.977443,13.79224,21.35865,-1.139634714
tAroraNI,8,-13.65298,32.88502,50.88888,-1.516997778
tatUhe,6,-8.146811,14.58244,22.79302,-1.163830143
tafeNafi,8,-12.43916,24.1062,35.8835,-1.382128889
teaori,6,-7.868355,13.3061,20.48295,-1.124050714
temi,4,-6.001101,15.85697,31.64283,-1.2002202
tetohe,6,-8.242239,15.04744,23.64321,-1.177462714
tetoua,6,-7.670368,12.46714,18.9843,-1.095766857
teu,3,-5.894771,29.76411,92.24095,-1.47369275
tIahu,5,-8.268675,23.8843,45.05418,-1.3781125
tie,3,-5.619372,25.40054,74.66619,-1.404843
tikaweneri,10,-12.40663,13.42379,17.40454,-1.127875455
tIkIhiki,8,-9.355038,10.95087,14.76997,-1.039448667
tikOha,6,-7.134231,10.45143,15.45391,-1.019175857
tikU,4,-7.606034,33.20525,79.70921,-1.5212068
tIpe,4,-5.364285,11.82652,21.93165,-1.072857
tIpo,4,-5.856264,14.83382,29.1116,-1.1712528
tItA,4,-6.642564,21.30653,45.77633,-1.3285128
titapa,6,-6.638693,8.879423,12.77759,-0.948384714
titapapukau,11,-9.812331,6.57195,7.798841,-0.81769425
tifi,4,-5.462741,12.37508,23.21054,-1.0925482
tohiAhia,8,-12.72322,25.92335,38.94059,-1.413691111
toketi,6,-7.695706,12.57148,19.1698,-1.099386571
touki,5,-6.29001,11.17725,18.11349,-1.048335
tuanapU,7,-9.625227,15.96443,23.71551,-1.203153375
tUkeiati,8,-11.41552,18.55201,26.72637,-1.268391111
tumeiroruare,12,-15.57483,15.77843,19.85649,-1.198063846
tufe,4,-6.140888,16.91133,34.29431,-1.2281776
uke,3,-6.666776,46.41882,166.8241,-1.666694
uko,3,-7.534917,76.51194,324.8171,-1.88372925
unati,5,-7.520586,17.92384,31.92399,-1.253431
uro,3,-5.475688,23.38417,66.86969,-1.368922
uti,3,-5.25332,20.57453,56.3776,-1.31333
waemura,7,-8.637125,12.0127,17.13464,-1.079640625
wawemiti,8,-11.4193,18.56995,26.75545,-1.268811111
wehao,5,-7.414008,17.20552,30.39496,-1.235668
wereu,5,-8.610041,27.22745,52.72399,-1.435006833
faha,4,-7.205194,27.60825,63.28467,-1.4410388
fAhu,4,-6.556983,20.48315,43.57585,-1.3113966
faiE,4,-8.731284,55.75153,152.3425,-1.7462568
fakOiaweahua,12,-17.98358,24.17421,31.5233,-1.383352308
fANaki,6,-7.416334,11.4677,17.2209,-1.059476286
fani,4,-5.547619,12.86838,24.37277,-1.1095238
fanikafa,8,-12.25316,22.98593,34.01299,-1.361462222
faninia,7,-9.827343,16.92068,25.34581,-1.228417875
faniporaki,10,-12.81277,14.61495,19.11072,-1.164797273
fanititapa,10,-11.18128,10.38676,13.12587,-1.01648
fanifani,8,-11.15558,17.35836,24.79975,-1.239508889
fataI,5,-10.24836,51.05759,112.1172,-1.70806
fehu,4,-8.197199,43.59532,112.0211,-1.6394398
fenepOna,8,-9.59535,11.64528,15.82773,-1.06615
feNo,4,-8.468599,49.3992,130.9634,-1.6937198
feto,4,-6.091601,16.53181,33.33499,-1.2183202
feu,3,-5.042384,18.222,47.95066,-1.260596
fihia,5,-7.004435,14.703,25.17022,-1.167405833
fihiania,8,-11.32807,18.14153,26.06203,-1.258674444
furi,4,-6.257312,17.84277,36.67143,-1.2514624
futarirari,10,-10.20429,8.465696,10.48163,-0.927662727
wikuruta,8,-10.44264,14.46416,20.199,-1.160293333
wura,4,-9.291191,72.1503,210.2799,-1.8582382
wuri,4,-9.167401,68.15224,195.8169,-1.8334802
